    molid1      molid2     ss1     ss2   sim12   Sscore
      1557   3590077  34.279 106.737  25.534  0.2211
      1557   3622099  34.279 117.167  24.208  0.1903
      1557    598105  34.279 141.297  25.687  0.1714
      1557    599282  34.279 125.977  26.322  0.1965
      1557    603872  34.279 140.827  26.552  0.1787
      1557       726  34.279 118.397  22.964  0.1770
      1557        85  34.279 121.137  24.385  0.1861
      1557   1632174  34.279 118.417  23.136  0.1786
      1557    194206  34.279 119.677  24.675  0.1909
      1557    196169  34.279 120.167  24.743  0.1908
      1557    199824  34.279 131.037  24.103  0.1707
      1557   3115582  34.279 120.557  26.858  0.2099
      1557    370128  34.279 120.167  24.590  0.1894
      1557    372453  34.279 119.677  24.546  0.1897
      1557    398813  34.279 118.557  24.346  0.1895
      1557    605339  34.279 145.597  24.613  0.1585
      1557    605354  34.279 141.477  26.516  0.1777
      1557   1632158  34.279 121.737  23.026  0.1731
      1557   1765683  34.279 128.957  26.918  0.1975
      1557   1765684  34.279 128.957  26.798  0.1964
      1557    195927  34.279 123.967  27.456  0.2099
      1557    196370  34.279 123.967  26.332  0.1996
      1557    197796  34.279 123.187  25.185  0.1904
      1557    238916  34.279 124.707  24.338  0.1808
      1557    282116  34.279 127.517  28.737  0.2160
      1557    599135  34.279 144.407  25.774  0.1686
      1557    599487  34.279 133.287  26.769  0.1901
      1557    212912  34.279 138.907  23.782  0.1592
      1557    419505  34.279 128.567  24.112  0.1738
      1557    196598  34.279 131.707  25.107  0.1782
      1557    213336  34.279 143.697  24.769  0.1617
      1557    213424  34.279 143.697  24.682  0.1610
      1557   2323582  34.279 141.587  25.852  0.1723
      1557    300780  34.279 132.577  24.000  0.1680
      1557    378669  34.279 143.697  23.834  0.1546
      1557    209497  34.279 141.167  25.796  0.1724
      1557    197408  34.279 141.446  24.631  0.1630
      1557    213834  34.279 155.246  22.344  0.1337
      1557    378825  34.279 140.986  26.373  0.1771
      1557    425069  34.279 151.876  27.218  0.1713
      1557     15928  34.279 146.536  26.469  0.1715
      1557    213492  34.279 157.406  24.565  0.1470
      1557    459350  34.279 142.276  26.653  0.1778
      1557    459373  34.279 142.636  26.362  0.1751
      1557    517407  34.279 142.636  26.769  0.1783
      1557    460402  34.279 147.246  27.026  0.1749
      1557    517244  34.279 153.966  26.249  0.1620
      1557    457957  34.279 149.896  28.029  0.1795
      1557    464811  34.279 155.986  25.439  0.1543
      1557   3577342  34.279 147.096  29.369  0.1932
      1557   3577343  34.279 147.096  29.369  0.1932
      1557   3577345  34.279 163.706  28.929  0.1711
      1557   3577346  34.279 163.706  28.929  0.1711
      1557   3577344  34.279 173.535  29.204  0.1635
      1557    455288  34.279 187.005  25.079  0.1278
      1398   2030634  41.329  40.119  24.862  0.4394
      1398   2436555  41.329  42.199  21.055  0.3370
      1398    380124  41.329  41.069  39.928  0.9402
      1398    201086  41.329  45.139  40.941  0.8993
