    molid1      molid2     ss1     ss2   sim12   Sscore
   2169891   3360563  82.988 103.167  50.217  0.3694
   2169891   3360564  82.988  98.347  50.526  0.3863
   2169891   3360565  82.988 103.767  50.846  0.3741
   2169891   3360566  82.988 103.767  48.539  0.3512
   2169891   3360567  82.988  86.068  50.802  0.4296
   2169891   3360568  82.988 115.737  53.606  0.3694
   2169891   3360569  82.988 104.967  50.937  0.3718
   2169891   3360570  82.988 134.797  51.770  0.3118
   2169891   3360571  82.988 105.047  50.829  0.3705
   2169891   3360572  82.988 100.228  51.191  0.3877
   2169891   3360573  82.988 105.897  53.018  0.3902
   2169891   3360574  82.988 105.897  50.950  0.3694
   2169891   3409372  82.988 115.577  51.055  0.3461
   2169891   3409373  82.988  84.698  52.996  0.4621
   2169891   3409374  82.988  84.618  52.974  0.4621
   2169891   3409375  82.988  84.698  53.234  0.4651
   2169891   3409376  82.988  80.498  48.301  0.4193
   2169891   3409377  82.988  84.698  51.510  0.4434
   2169891   3409378  82.988  84.618  51.485  0.4434
   2169891   3409379  82.988  84.698  51.747  0.4463
   2169891   3409380  82.988  88.868  56.951  0.4956
   2169891   3409381  82.988  88.868  54.413  0.4633
   2169891   3409382  82.988  85.178  50.264  0.4263
   2169891   3409383  82.988  80.498  48.376  0.4203
   2169891   3409384  82.988  85.368  52.573  0.4541
   2169891   3409385  82.988  89.488  55.313  0.4721
   2169891   3409386  82.988  85.368  51.147  0.4364
   2169891   3409387  82.988  89.488  53.937  0.4550
   2169891   3409388  82.988  93.788  58.278  0.4918
   2169891   3409389  82.988  90.078  53.449  0.4468
   2169891   3417042  82.988  79.968  62.674  0.6250
   2169891   3417043  82.988  80.188  61.498  0.6048
   2169891   3417044  82.988  75.648  58.322  0.5814
   2169891   3417045  82.988  75.818  58.100  0.5769
   2169891   3417046  82.988  75.648  58.031  0.5768
   2169891   3417047  82.988  79.968  62.068  0.6152
   2169891   3417048  82.988  80.188  60.967  0.5965
   2169891   3417049  82.988  79.968  67.145  0.7008
   2169891   3417050  82.988  75.818  62.534  0.6496
   2169891   3417051  82.988  79.968  66.532  0.6900
   2169891   3417052  82.988  79.288  59.513  0.5791
   2169891   3417053  82.988 101.207  59.876  0.4816
   2169891   3417054  82.988  79.288  64.053  0.6521
   2169891   3417055  82.988  88.228  63.078  0.5833
   2169891   3417056  82.988  91.268  64.097  0.5819
   2169891   3417057  82.988  74.568  52.849  0.5047
   2169891   3417058  82.988  82.748  60.937  0.5815
   2169891   3417059  82.988  78.478  56.373  0.5364
   2169891   3417060  82.988  78.618  56.600  0.5390
   2169891   3417061  82.988  82.748  60.348  0.5726
   2169891   3417062  82.988  74.568  57.852  0.5802
   2169891   3417063  82.988  82.748  65.957  0.6610
   2169891   3417064  82.988  78.478  61.383  0.6133
   2169891   3417065  82.988  82.748  65.365  0.6512
   2169891   3417066  82.988  86.218  61.278  0.5678
   2169891   3417067  82.988  78.038  54.102  0.5060
   2169891   3417068  82.988  86.218  65.885  0.6377
   2169891   3417069  82.988  91.007  60.318  0.5306
   2169891   3417070  82.988  86.738  58.796  0.5300
   2169891   3417071  82.988  96.957  57.378  0.4681
   2169891   3417072  82.988  67.728  45.496  0.4324
   2169891   3417073  82.988  78.448  52.754  0.4854
   2169891   3417074  82.988  94.047  61.644  0.5342
   2169891   3417075  82.988  85.788  68.906  0.6900
   2169891   3417076  82.988  82.988  71.306  0.7532
   2169891   3417077  82.988  71.718  54.914  0.5503
   2169891   3417078  82.988  98.098  54.097  0.4260
   2169891   3417079  82.988  88.618  69.155  0.6750
   2169891   3417080  82.988  92.277  70.103  0.6666
   2169891   3417081  82.988 106.927  54.748  0.4050
   2169891   3417082  82.988  93.098  70.571  0.6688
   2169891   3417083  82.988  95.837  67.964  0.6131
   2169891   3417084  82.988  98.077  68.470  0.6081
   2169891   3417085  82.988 103.967  68.734  0.5814
   2169891    365754  82.988 110.667  50.403  0.3519
   2169891     38634  82.988  86.368  49.683  0.4152
   2169891     39900  82.988  86.368  47.819  0.3935
   2169891     53325  82.988 103.267  53.843  0.4066
   2169891        54  82.988  95.847  57.898  0.4787
   2169891    564522  82.988  80.498  49.788  0.4379
   2169891    570067  82.988  96.308  52.706  0.4164
   2169891    570529  82.988  93.398  52.224  0.4206
   2169891    570789  82.988  86.368  46.987  0.3840
   2169891    570795  82.988  88.698  49.071  0.4002
   2169891    571418  82.988  86.368  50.327  0.4228
   2169891    571659  82.988  91.168  51.722  0.4225
   2169891    572294  82.988  86.368  51.232  0.4337
   2169891    578825  82.988  93.398  50.323  0.3992
   2169891     60542  82.988  95.058  44.574  0.3340
   2169891     73824  82.988  58.848  45.903  0.4785
   2170045   2170046  96.408 107.067  86.997  0.7469
   2170045   2170047  96.408 100.057  93.044  0.8997
   2170045   2170048  96.408 101.777  90.192  0.8352
   2170045   2170049  96.408 119.177  89.163  0.7053
   2170045   2170050  96.408 112.997  84.263  0.6733
   2170045   2170051  96.408  84.618  70.969  0.6449
   2170045   2170052  96.408  84.518  63.506  0.5408
   2170045   2170053  96.408  79.968  64.290  0.5736
   2170045   2170054  96.408  79.968  60.271  0.5191
   2170045   2170055  96.408  89.428  76.009  0.6921
   2170045   2170056  96.408  98.007  78.136  0.6720
   2170045   2170057  96.408  76.288  71.862  0.7127
   2170045   2170058  96.408  83.788  73.820  0.6940
   2170045   2170059  96.408  80.428  73.063  0.7041
   2170045   2170060  96.408  75.648  68.742  0.6654
   2170045   2170061  96.408  84.878  74.368  0.6956
   2170045   2170062  96.408  95.768  93.430  0.9462
   2170045   2170063  96.408  91.048  89.228  0.9084
   2170045   2170064  96.408 100.627  93.304  0.8995
   2170045   2170065  96.408  62.068  52.725  0.4986
   2170045   2170066  96.408  71.718  64.289  0.6191
   2170045   2170067  96.408  95.768  88.262  0.8494
   2170045   2170068  96.408  92.088  86.565  0.8493
   2170045   2170069  96.408  88.898  80.343  0.7654
   2170045   2170070  96.408 113.367  92.338  0.7863
   2170045   2170071  96.408  94.467  69.303  0.5701
   2170045   2170072  96.408  83.828  62.101  0.5257
   2170045   2170073  96.408 110.467  74.103  0.5581
   2170045   2170074  96.408  86.998  64.103  0.5373
   2170045   2170075  96.408  86.008  70.494  0.6299
   2170045   2170076  96.408  86.008  67.692  0.5900
   2170045   2170203  96.408 103.407  72.016  0.5635
   2170045   2170204  96.408  79.208  58.317  0.4972
   2170045   2170205  96.408  96.337  67.618  0.5404
   2170045   2170206  96.408  82.108  60.355  0.5108
   2170045   2170207  96.408  89.027  69.030  0.5930
   2170045   2170208  96.408 101.127  69.821  0.5467
   2170045   2170209  96.408  87.438  71.119  0.6309
   2170045   2170210  96.408  91.338  66.826  0.5527
   2170045   2170211  96.408  83.438  68.063  0.6089
   2170045   2170212  96.408  83.848  67.975  0.6054
   2170045   2170213  96.408  91.268  70.634  0.6035
   2170045   2170214  96.408  93.037  77.290  0.6891
   2170045   2170215  96.408 108.127  84.419  0.7028
